complexity,params_mean,params_std,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,learning_rate,batch_size,epochs,alpha,degree,n_features,label_corruption
1,41.13903807450903,7.105427357601002e-15,0.32259966874751206,0.028887621903086694,0.20464442152562387,0.00830953144887617,,,,0.7943282347242815,,,0.15
2,45.839924500817155,7.105427357601002e-15,0.3059874279694554,0.029708862214724314,0.19085904631451545,0.011513498810320162,,,,0.6309573444801932,,,0.15
3,50.894644513669405,0.0,0.3077557164692866,0.03815414468639495,0.1868274837137276,0.01432507228189011,,,,0.5011872336272722,,,0.15
4,56.30806695862676,0.0,0.289800151259244,0.032993706393373144,0.17716696795699627,0.011930805667316942,,,,0.3981071705534972,,,0.15
5,62.09570364529378,7.105427357601002e-15,0.2856397211965205,0.02608667069439581,0.17029778082929317,0.013195906520899558,,,,0.31622776601683794,,,0.15
6,68.28586285865995,2.842170943040401e-14,0.2613009807588464,0.03017970354969055,0.1578276865896303,0.010979984939449797,,,,0.251188643150958,,,0.15
7,74.91926733987583,1.4210854715202004e-14,0.2707755686653225,0.03989762257176127,0.15689578356124598,0.016851449652680223,,,,0.19952623149688797,,,0.15
8,82.04600485939615,0.0,0.2475395702427022,0.023132443756308865,0.14698223338120323,0.016554171494317867,,,,0.15848931924611134,,,0.15
9,89.72022611386663,1.4210854715202004e-14,0.23932354297964728,0.017551273900900357,0.14070490128911273,0.011015882472771866,,,,0.12589254117941673,,,0.15
10,97.99347547630232,1.4210854715202004e-14,0.23629405664997777,0.02245333261769052,0.13669011842821227,0.01090202349564294,,,,0.1,,,0.15
11,106.90783448005507,0.0,0.22934129033700107,0.026497879640222072,0.142299230367532,0.013164561615604585,,,,0.07943282347242814,,,0.15
12,116.49009842353038,1.4210854715202004e-14,0.21301086228344746,0.02485191182419724,0.13313000813167436,0.01765240996147536,,,,0.06309573444801933,,,0.15
13,126.74797021218448,0.0,0.2055718856467091,0.023765084234182443,0.13776727809805736,0.018632916663460675,,,,0.05011872336272722,,,0.15
14,137.66880131169106,2.842170943040401e-14,0.18932392989500085,0.026692711801131128,0.13328719662997998,0.01916793183446841,,,,0.039810717055349734,,,0.15
15,149.22086923301774,0.0,0.1843359876803772,0.017452119652159058,0.14443169795942523,0.022519960053217273,,,,0.03162277660168379,,,0.15
16,161.3567077610774,0.0,0.16800381435218406,0.018863403691357212,0.14564952028152706,0.01727253962300293,,,,0.025118864315095794,,,0.15
17,174.01771092092804,0.0,0.15866460702105897,0.01481436500956017,0.13899912225467517,0.02069426896242743,,,,0.0199526231496888,,,0.15
18,187.13914522794278,2.842170943040401e-14,0.1469562283639455,0.019817296991102892,0.14951749373100234,0.02259645020799752,,,,0.015848931924611134,,,0.15
19,200.65478618442506,2.842170943040401e-14,0.13819160074894157,0.019718252850945507,0.14867404747311502,0.02090443453604335,,,,0.012589254117941675,,,0.15
20,214.50057171942845,0.0,0.12948542217849757,0.02257473289154729,0.15559409890786707,0.019552811192264864,,,,0.01,,,0.15
21,228.61687508950791,0.0,0.12111536322530839,0.02407451949125341,0.16246695137068096,0.022672615507524196,,,,0.007943282347242814,,,0.15
22,242.94921161653832,0.0,0.10726693902173787,0.014591308336106557,0.18671279498334403,0.032578652914757165,,,,0.00630957344480193,,,0.15
23,257.4474026511059,5.684341886080802e-14,0.09204375247150731,0.012965523389199835,0.18376437287016958,0.032906698256053996,,,,0.005011872336272725,,,0.15
24,272.06342722003427,5.684341886080802e-14,0.09092893632781208,0.01863841224254419,0.21446449954739202,0.044934750180946545,,,,0.003981071705534973,,,0.15
25,286.74838425184055,5.684341886080802e-14,0.08023649168272873,0.014597880112659141,0.22254089744310018,0.03672635522965811,,,,0.0031622776601683794,,,0.15
26,301.44913435420136,0.0,0.0722792406371059,0.012490530835294385,0.23687667467233084,0.032091649103210024,,,,0.0025118864315095794,,,0.15
27,316.10525110531205,5.684341886080802e-14,0.06754068147374227,0.01161975363744555,0.2562139126072416,0.037703218578071435,,,,0.001995262314968879,,,0.15
28,330.6468637019469,5.684341886080802e-14,0.06072701748627736,0.011798100885008864,0.29577754779126203,0.050175866103331364,,,,0.001584893192461114,,,0.15
29,344.9938228608246,5.684341886080802e-14,0.053369632925731846,0.011156188737065538,0.3352558984786723,0.05420950964028743,,,,0.0012589254117941675,,,0.15
30,359.0564077778989,0.0,0.04179823570329162,0.007740541737499425,0.3194626930655701,0.030639637559850344,,,,0.001,,,0.15
31,372.7375637957706,1.1368683772161603e-13,0.0375007448291249,0.007676086453160807,0.350021052724086,0.06694139673920874,,,,0.0007943282347242813,,,0.15
32,385.9364591749505,1.1368683772161603e-13,0.03106430101895505,0.006740967786388421,0.3844600276938065,0.08403473392343774,,,,0.000630957344480193,,,0.15
33,398.55299679033055,5.684341886080802e-14,0.027684130388699,0.0076925989056880585,0.4364497208339152,0.08693628370239104,,,,0.0005011872336272725,,,0.15
34,410.4928197075554,5.684341886080802e-14,0.020292142229593257,0.0038222242688194874,0.43835210118398793,0.08310329348439975,,,,0.00039810717055349735,,,0.15
35,421.67230985100406,5.684341886080802e-14,0.018500720949937304,0.004982785119912598,0.498849350736954,0.09126313471627366,,,,0.00031622776601683794,,,0.15
36,432.0230953887641,0.0,0.013602731223493609,0.003910661933137061,0.49946749664128254,0.1046455952014088,,,,0.00025118864315095795,,,0.15
37,441.4956484617377,0.0,0.01004973493979807,0.0017973449332262827,0.5044085702754558,0.06043785649893162,,,,0.00019952623149688788,,,0.15
38,450.0616565615226,5.684341886080802e-14,0.007545664331377327,0.002871017311807723,0.5587609523836817,0.11560291706840142,,,,0.00015848931924611142,,,0.15
39,457.71497220841377,5.684341886080802e-14,0.0059109374486090525,0.001765688336167958,0.5899408888656029,0.08627712364781642,,,,0.00012589254117941674,,,0.15
