complexity,run,train_mse,test_mse,params,label_corruption,learning_rate,batch_size,epochs,alpha,degree,n_features
1,0,0.6262194521356704,0.4718946747364381,7,0.15,0.001,,10000,,,
1,1,1.0267583561320055,1.0047257046562355,7,0.15,0.001,,10000,,,
1,2,0.5519973641249487,0.4734840649608232,7,0.15,0.001,,10000,,,
1,3,0.5831788566288235,0.4864835945671941,7,0.15,0.001,,10000,,,
1,4,0.5158230244082349,0.29399991745464515,7,0.15,0.001,,10000,,,
1,5,0.5565937468707414,0.4844282536207514,7,0.15,0.001,,10000,,,
1,6,0.49414746560100475,0.3079844290021986,7,0.15,0.001,,10000,,,
1,7,0.4436349516187601,0.2921695129928955,7,0.15,0.001,,10000,,,
1,8,0.4918307215475424,0.3032064291755577,7,0.15,0.001,,10000,,,
1,9,0.6969464676783641,0.48584189882251316,7,0.15,0.001,,10000,,,
1,10,0.585343991152714,0.47444873151337935,7,0.15,0.001,,10000,,,
1,11,1.069361243295803,1.0070242041183504,7,0.15,0.001,,10000,,,
1,12,0.4075875171769012,0.2980646870697188,7,0.15,0.001,,10000,,,
1,13,0.4414343676285624,0.2973139928277858,7,0.15,0.001,,10000,,,
1,14,0.47908269792926805,0.29498882047535135,7,0.15,0.001,,10000,,,
1,15,0.4459777644918632,0.29775423807395396,7,0.15,0.001,,10000,,,
1,16,0.6183187680876658,0.47451108718471097,7,0.15,0.001,,10000,,,
1,17,0.5795856063331487,0.4809779620165127,7,0.15,0.001,,10000,,,
1,18,0.4114974745746572,0.29808562492492896,7,0.15,0.001,,10000,,,
1,19,0.4773734169438781,0.3189224418570733,7,0.15,0.001,,10000,,,
2,0,0.372248772741656,0.19562935593891342,13,0.15,0.001,,10000,,,
2,1,0.5336675388478327,0.4535060880480055,13,0.15,0.001,,10000,,,
2,2,0.3425125002193647,0.22400997580406348,13,0.15,0.001,,10000,,,
2,3,0.48668753192488623,0.2286820126141813,13,0.15,0.001,,10000,,,
2,4,0.4110995740290156,0.2540671114884762,13,0.15,0.001,,10000,,,
2,5,0.38625071867912525,0.25462294393798124,13,0.15,0.001,,10000,,,
2,6,0.5625752233928105,0.48031833847306327,13,0.15,0.001,,10000,,,
2,7,0.49301621035629295,0.3261450601864663,13,0.15,0.001,,10000,,,
2,8,0.5070103857922552,0.3335970183480728,13,0.15,0.001,,10000,,,
2,9,0.47109361137118966,0.3310236629401847,13,0.15,0.001,,10000,,,
2,10,0.4974032277405634,0.3584392123621688,13,0.15,0.001,,10000,,,
