complexity,params_mean,params_std,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,learning_rate,batch_size,epochs,alpha,degree,n_features,label_corruption
1,7.0,0.0,0.551625537596379,0.12794526074833587,0.40796489102167816,0.16112632602212718,0.01,,10000,,,,0.15
2,13.0,0.0,0.4369152193741912,0.07829714116820032,0.2918825657546027,0.09823262752551311,0.01,,10000,,,,0.15
3,19.0,0.0,0.38674162607322515,0.049454978160623456,0.2201036329323342,0.028083061540659992,0.01,,10000,,,,0.15
4,25.0,0.0,0.3658801285079543,0.06692492539589069,0.19150446021032438,0.02698622668612506,0.01,,10000,,,,0.15
5,31.0,0.0,0.38943413271187566,0.058988564313660806,0.21343612119879968,0.036356882868402544,0.01,,10000,,,,0.15
6,37.0,0.0,0.3489300889263403,0.05430587385954571,0.21169125548605291,0.02618752575555279,0.01,,10000,,,,0.15
7,43.0,0.0,0.31277144593801504,0.043158939610258504,0.20514274309295946,0.02576109583415289,0.01,,10000,,,,0.15
8,49.0,0.0,0.3274696169127842,0.058051378531066886,0.21266127294723777,0.030869342086632178,0.01,,10000,,,,0.15
9,55.0,0.0,0.33027606681501936,0.05245323118060447,0.22400514436215224,0.03594291808536566,0.01,,10000,,,,0.15
10,61.0,0.0,0.3303734342336032,0.05074489571909868,0.23485132970077105,0.044234553224613955,0.01,,10000,,,,0.15
11,67.0,0.0,0.32929436969886894,0.054657152189456576,0.22274323353574368,0.03071256399163623,0.01,,10000,,,,0.15
12,73.0,0.0,0.3084859918908944,0.039447185327953244,0.22429168222289358,0.03757897157917585,0.01,,10000,,,,0.15
13,79.0,0.0,0.33288866291463287,0.049128522715853364,0.24421770678110474,0.038867473380812555,0.01,,10000,,,,0.15
14,85.0,0.0,0.29293441293547307,0.04527272908263595,0.2509325198117987,0.0428299637180546,0.01,,10000,,,,0.15
15,91.0,0.0,0.31103834183516677,0.047338481439119236,0.2524276541150742,0.0400078134257547,0.01,,10000,,,,0.15
16,97.0,0.0,0.29004384357984064,0.05058670887976637,0.25024095566585236,0.04032611848941456,0.01,,10000,,,,0.15
17,103.0,0.0,0.28576276811638324,0.051669357458933585,0.2573799999133033,0.02854224599215887,0.01,,10000,,,,0.15
18,109.0,0.0,0.26873281565842344,0.04754412566166758,0.2551314291383811,0.04184845249519827,0.01,,10000,,,,0.15
19,115.0,0.0,0.28632739693463255,0.046150330267532895,0.26462247716442144,0.04615001276555417,0.01,,10000,,,,0.15
20,121.0,0.0,0.27785127018254496,0.04324007577407473,0.27796850724436034,0.034756287756860224,0.01,,10000,,,,0.15
21,127.0,0.0,0.2571506876149417,0.04071903380417175,0.2848986661993991,0.05391228340616831,0.01,,10000,,,,0.15
22,133.0,0.0,0.2609823215785067,0.04111673960175513,0.2943228458960726,0.04164761443708366,0.01,,10000,,,,0.15
23,139.0,0.0,0.25162060767116323,0.029935657955362474,0.29336451412232156,0.05445866583912669,0.01,,10000,,,,0.15
24,145.0,0.0,0.2563495912828665,0.03334871836923936,0.3001848685469101,0.05033940850744813,0.01,,10000,,,,0.15
25,151.0,0.0,0.24604894952718204,0.039643444913158174,0.29686112411968024,0.04152597274012716,0.01,,10000,,,,0.15
26,157.0,0.0,0.2305235342759664,0.04167339072960372,0.2917478091116704,0.05699061127368222,0.01,,10000,,,,0.15
27,163.0,0.0,0.23504794510017352,0.04047435444256747,0.3203567065850387,0.06300299301837453,0.01,,10000,,,,0.15
28,169.0,0.0,0.24795423260386262,0.04033820150364748,0.32966766889722215,0.05409207455078518,0.01,,10000,,,,0.15
29,175.0,0.0,0.2312753046755715,0.03194325861413504,0.33941368061447197,0.054306812297429896,0.01,,10000,,,,0.15
30,181.0,0.0,0.23955966373025017,0.03580570206128862,0.3362942417194548,0.05683030533955102,0.01,,10000,,,,0.15
31,187.0,0.0,0.2219214029606992,0.02649693764477102,0.3292350855340345,0.037230674579515434,0.01,,10000,,,,0.15
32,193.0,0.0,0.21306980022864447,0.035525877040170066,0.3500701417200799,0.08353365803706925,0.01,,10000,,,,0.15
33,199.0,0.0,0.21588499335734804,0.03140968077309549,0.3507243009458997,0.06084914009528188,0.01,,10000,,,,0.15
34,205.0,0.0,0.23236656748541887,0.03688499857254774,0.3682792348787213,0.07211655231751549,0.01,,10000,,,,0.15
35,211.0,0.0,0.19382940542518345,0.030723664082725723,0.352469570610471,0.07485031343076956,0.01,,10000,,,,0.15
36,217.0,0.0,0.20850271111262525,0.03287022000815666,0.35132787412020083,0.06842268960565648,0.01,,10000,,,,0.15
37,223.0,0.0,0.2144737937031783,0.045894306524743154,0.3455208689580827,0.05327593511201544,0.01,,10000,,,,0.15
38,229.0,0.0,0.18503180833577992,0.032501980119604215,0.3258121306409708,0.04941922495000937,0.01,,10000,,,,0.15
39,235.0,0.0,0.21034795728947353,0.028365390279842088,0.36944516906921954,0.06105075479765434,0.01,,10000,,,,0.15
40,241.0,0.0,0.19742056364188082,0.03275752531949179,0.4069840651061226,0.06838029552014513,0.01,,10000,,,,0.15
41,247.0,0.0,0.19649059986853817,0.03866138289842277,0.3851921647211285,0.0648680792315011,0.01,,10000,,,,0.15
42,253.0,0.0,0.18452835539061854,0.03177204571884119,0.38659143616778446,0.05094441093028147,0.01,,10000,,,,0.15
43,259.0,0.0,0.17860377346529818,0.02795143033467213,0.40403899640121954,0.05894338769881838,0.01,,10000,,,,0.15
44,265.0,0.0,0.17338112177298412,0.03034938712958533,0.4059181727380371,0.08957281538455257,0.01,,10000,,,,0.15
45,271.0,0.0,0.1898236292671383,0.03584068013831847,0.4157938446074064,0.053573531349511275,0.01,,10000,,,,0.15
46,277.0,0.0,0.17151078706841774,0.032137063772366255,0.4358099373619527,0.07562096539291684,0.01,,10000,,,,0.15
47,283.0,0.0,0.1681532183134558,0.031203222283037547,0.38364512573225557,0.0622519725913057,0.01,,10000,,,,0.15
48,289.0,0.0,0.1762706744426231,0.01923106535136423,0.43584671770713623,0.05598362249531748,0.01,,10000,,,,0.15
49,295.0,0.0,0.16772789348853293,0.03079715125792955,0.43404692101069964,0.07045513400506699,0.01,,10000,,,,0.15
50,301.0,0.0,0.1700159757621024,0.03456854779482349,0.44695990787330936,0.08169919191518028,0.01,,10000,,,,0.15
51,307.0,0.0,0.152727001713103,0.040176003469993116,0.4513222986590268,0.09158795841584974,0.01,,10000,,,,0.15
52,313.0,0.0,0.14917920638872129,0.023997553406461283,0.4401480388690774,0.09875739888678992,0.01,,10000,,,,0.15
