complexity,params_mean,params_std,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,learning_rate,batch_size,epochs,alpha,degree,n_features,label_corruption
1,13.0,0.0,0.4175335627457568,0.03379649945514606,0.2553501456735684,0.007270204264311059,0.001,,10000,,,,0.15
2,25.0,0.0,0.3615121705357415,0.04142838574112571,0.21962373061828194,0.039892209149766704,0.001,,10000,,,,0.15
3,37.0,0.0,0.33408248092037096,0.0333601755667253,0.18970277175610537,0.03892153565866194,0.001,,10000,,,,0.15
4,49.0,0.0,0.3017129194976148,0.05027313827827681,0.18306543433236183,0.04193445366401852,0.001,,10000,,,,0.15
5,61.0,0.0,0.28398893708724743,0.038680206594841136,0.16587749108890368,0.05273975565108872,0.001,,10000,,,,0.15
6,73.0,0.0,0.2672331154794843,0.03153440832909775,0.17673618022259913,0.048368568537040635,0.001,,10000,,,,0.15
7,85.0,0.0,0.26426470598450624,0.04013140174124044,0.17487066063984244,0.04746640067001448,0.001,,10000,,,,0.15
8,97.0,0.0,0.23330322497736375,0.03083508667945182,0.17422550097252582,0.036587060968039715,0.001,,10000,,,,0.15
9,109.0,0.0,0.22983126173184248,0.027662939614237853,0.197484681533371,0.039107931932083326,0.001,,10000,,,,0.15
10,121.0,0.0,0.2257265252722327,0.0301896996178698,0.20213211189260924,0.04237807149779585,0.001,,10000,,,,0.15
11,133.0,0.0,0.2165272867167895,0.02596513419541161,0.22150975383247723,0.04213385717431907,0.001,,10000,,,,0.15
12,145.0,0.0,0.19205282197686635,0.025310456995251338,0.21458972077097682,0.04080553354184865,0.001,,10000,,,,0.15
13,157.0,0.0,0.1895143243761261,0.028134361509382706,0.2578862377563921,0.03954987966267335,0.001,,10000,,,,0.15
14,169.0,0.0,0.17644518668282547,0.03314424342244957,0.25643977376415117,0.049366555175021545,0.001,,10000,,,,0.15
15,181.0,0.0,0.1822377596883052,0.018981006836090938,0.28786654190132366,0.04795310292069147,0.001,,10000,,,,0.15
16,193.0,0.0,0.15549088277894924,0.021892204605483925,0.29120464837606735,0.048352455555632994,0.001,,10000,,,,0.15
17,205.0,0.0,0.14333498033237996,0.01322940798832819,0.291491795247542,0.050653069926613344,0.001,,10000,,,,0.15
18,217.0,0.0,0.13132168975885236,0.01884916698495985,0.33071982716738285,0.054790765319078186,0.001,,10000,,,,0.15
19,229.0,0.0,0.12364016906261285,0.018052074279468422,0.3423686682435245,0.06965986981243062,0.001,,10000,,,,0.15
20,241.0,0.0,0.12128786981762887,0.01749592556499189,0.35290620939342654,0.061520024905035796,0.001,,10000,,,,0.15
21,253.0,0.0,0.11352672990821495,0.02084898035358946,0.3853050734702498,0.06916563160197213,0.001,,10000,,,,0.15
22,265.0,0.0,0.10628298100438575,0.01733901837422938,0.4116871795278132,0.06908233893975285,0.001,,10000,,,,0.15
23,277.0,0.0,0.09410573131172373,0.012836351926701893,0.3950918193014277,0.05557436006288674,0.001,,10000,,,,0.15
24,289.0,0.0,0.0938201921515861,0.016540275381984448,0.4356032449782988,0.0815751354612316,0.001,,10000,,,,0.15
25,301.0,0.0,0.07951633399971167,0.01714238359967003,0.47586642158586906,0.06851997383533069,0.001,,10000,,,,0.15
26,313.0,0.0,0.07622349460546261,0.015786528024758596,0.4701641135917375,0.06296426557397929,0.001,,10000,,,,0.15
27,325.0,0.0,0.0718734479687474,0.016246883372623578,0.5171611164233739,0.07864588517112862,0.001,,10000,,,,0.15
28,337.0,0.0,0.06795883427901965,0.014450324641377212,0.5403593746423823,0.08549435205402228,0.001,,10000,,,,0.15
29,349.0,0.0,0.06307221518417636,0.01047055230129372,0.578827380388253,0.11616933893999834,0.001,,10000,,,,0.15
30,361.0,0.0,0.05082842702431169,0.01207189305816378,0.5932561235376457,0.09262478369676033,0.001,,10000,,,,0.15
31,373.0,0.0,0.04695612816094241,0.011639102847623517,0.6085954375755189,0.10790810149418796,0.001,,10000,,,,0.15
32,385.0,0.0,0.044945247150845434,0.01140499582981329,0.6340668155433083,0.10686401890319903,0.001,,10000,,,,0.15
33,397.0,0.0,0.03993777587839435,0.009575913255426713,0.6742737121044323,0.13576746342275822,0.001,,10000,,,,0.15
34,409.0,0.0,0.03523125886454504,0.011275348496848766,0.7298147862099686,0.1367010463564534,0.001,,10000,,,,0.15
35,421.0,0.0,0.02969637189985927,0.0071834594642286335,0.7806376987031732,0.115275076636312,0.001,,10000,,,,0.15
36,433.0,0.0,0.02476721589622646,0.007645769821448959,0.7528713161355257,0.14057183602629436,0.001,,10000,,,,0.15
37,445.0,0.0,0.021181588945072785,0.0061056984501510906,0.7642751395376672,0.08562782907634577,0.001,,10000,,,,0.15
38,457.0,0.0,0.018216898641847626,0.0045123618540883785,0.7579880873722609,0.15621610931012847,0.001,,10000,,,,0.15
39,469.0,0.0,0.017406601293570363,0.005139107475654059,0.8297979909684688,0.1273816250375926,0.001,,10000,,,,0.15
40,481.0,0.0,0.013098858858801271,0.003979529382449157,0.8803693223125458,0.15850318529941398,0.001,,10000,,,,0.15
41,493.0,0.0,0.010781060449606068,0.004101440007057411,0.8420678646967558,0.1894050368305229,0.001,,10000,,,,0.15
42,505.0,0.0,0.008579933681137145,0.0035442484088302555,0.8924461804120876,0.1320110031863042,0.001,,10000,,,,0.15
43,517.0,0.0,0.007364184348786973,0.0033270567864561876,0.9127509369362349,0.11494948169738914,0.001,,10000,,,,0.15
44,529.0,0.0,0.005890067218886619,0.002324188960247591,0.8745466613732573,0.1528506513791719,0.001,,10000,,,,0.15
45,541.0,0.0,0.005110682646592637,0.002177697885963576,0.9055093699156446,0.1406281814372291,0.001,,10000,,,,0.15
46,553.0,0.0,0.003521937759132897,0.0012178190883750544,0.9582444526924272,0.1710110624280319,0.001,,10000,,,,0.15
47,565.0,0.0,0.002861386158792246,0.0013806852708853274,0.9700985998731284,0.18549365637190185,0.001,,10000,,,,0.15
