complexity,run,train_mse,test_mse,params,label_corruption,learning_rate,batch_size,epochs,alpha,degree,n_features
1,0,0.31447314950946587,0.08658343962752071,7,0.15,0.001,,10000,,,
1,1,0.40701531824201426,0.177347880568165,7,0.15,0.001,,10000,,,
1,2,0.29184812970475865,0.09075539860154508,7,0.15,0.001,,10000,,,
1,3,0.2608799228450049,0.06880513733089719,7,0.15,0.001,,10000,,,
1,4,0.3443984037531775,0.1860636748743167,7,0.15,0.001,,10000,,,
1,5,0.31188197887987956,0.08899656317248039,7,0.15,0.001,,10000,,,
1,6,0.39710703023450256,0.1853273016335636,7,0.15,0.001,,10000,,,
1,7,0.34838896897368804,0.18712482122844995,7,0.15,0.001,,10000,,,
1,8,0.4621968504022101,0.20709500228676125,7,0.15,0.001,,10000,,,
1,9,0.2735646675684245,0.0691292107913898,7,0.15,0.001,,10000,,,
1,10,0.2498976096279384,0.06762306620906293,7,0.15,0.001,,10000,,,
1,11,0.9547969762286129,1.1448186202996822,7,0.15,0.001,,10000,,,
1,12,0.40062562784854494,0.19954611646154172,7,0.15,0.001,,10000,,,
1,13,0.34837937382318407,0.18085907431432618,7,0.15,0.001,,10000,,,
1,14,0.3126699079616783,0.18045480798581814,7,0.15,0.001,,10000,,,
1,15,0.4131345565203072,0.19804031535999828,7,0.15,0.001,,10000,,,
1,16,0.25819238579438325,0.0709056944043571,7,0.15,0.001,,10000,,,
1,17,0.3564277514900661,0.11814741928747315,7,0.15,0.001,,10000,,,
1,18,0.385381017725752,0.1809610875008366,7,0.15,0.001,,10000,,,
1,19,0.3621416655425271,0.17590250141156596,7,0.15,0.001,,10000,,,
2,0,0.2954072967357466,0.06147960195948639,13,0.15,0.001,,10000,,,
2,1,0.34346751130492514,0.0975819968496169,13,0.15,0.001,,10000,,,
2,2,0.24943668362235802,0.05629857811946675,13,0.15,0.001,,10000,,,
2,3,0.30952836614043067,0.07749149806844247,13,0.15,0.001,,10000,,,
2,4,0.3293784249414442,0.07549875997686382,13,0.15,0.001,,10000,,,
2,5,0.3100719057502497,0.09798078846034354,13,0.15,0.001,,10000,,,
2,6,0.3137576837211619,0.09569425462318841,13,0.15,0.001,,10000,,,
2,7,0.2857907826947416,0.07155307741679459,13,0.15,0.001,,10000,,,
2,8,0.25241542452467697,0.07052870845776132,13,0.15,0.001,,10000,,,
2,9,0.2966162094646716,0.06983719454975446,13,0.15,0.001,,10000,,,
2,10,0.311615689370549,0.06743867080614672,13,0.15,0.001,,10000,,,
2,11,0.32386037893202174,0.08366375835795466,13,0.15,0.001,,10000,,,
2,12,0.30476314806965965,0.06248818866161898,13,0.15,0.001,,10000,,,
2,13,0.3528051752534986,0.09114919183079126,13,0.15,0.001,,10000,,,
2,14,0.26853707088288126,0.06294762778251485,13,0.15,0.001,,10000,,,
2,15,0.2004282569369868,0.04912713677440451,13,0.15,0.001,,10000,,,
2,16,0.30485812517506483,0.04876059040186703,13,0.15,0.001,,10000,,,
2,17,0.4403701524794669,0.20374717551762006,13,0.15,0.001,,10000,,,
2,18,0.29156851576312337,0.07744966126595065,13,0.15,0.001,,10000,,,
2,19,0.36146323476788655,0.08834904109519624,13,0.15,0.001,,10000,,,
3,0,0.2232498999389498,0.05800537387316288,19,0.15,0.001,,10000,,,
3,1,0.36982147523653003,0.07734751892991591,19,0.15,0.001,,10000,,,
3,2,0.37156598296597143,0.13698532810708697,19,0.15,0.001,,10000,,,
3,3,0.2689990732336739,0.06812700953695348,19,0.15,0.001,,10000,,,
3,4,0.25558960389800306,0.05307034567892336,19,0.15,0.001,,10000,,,
3,5,0.26001741535804573,0.043844492046371655,19,0.15,0.001,,10000,,,
3,6,0.3180138327708469,0.05967940290502252,19,0.15,0.001,,10000,,,
3,7,0.24165576814873957,0.02638768902476098,19,0.15,0.001,,10000,,,
3,8,0.21376877464303862,0.0448676653963365,19,0.15,0.001,,10000,,,
3,9,0.30254035962329784,0.0450098526229649,19,0.15,0.001,,10000,,,
3,10,0.23743543881724274,0.03568920661800726,19,0.15,0.001,,10000,,,
3,11,0.2990437067697882,0.09144655955737588,19,0.15,0.001,,10000,,,
3,12,0.2563145688864777,0.04325563831135754,19,0.15,0.001,,10000,,,
3,13,0.26501515427985844,0.10148007462679555,19,0.15,0.001,,10000,,,
3,14,0.27722598302930274,0.04717654509212821,19,0.15,0.001,,10000,,,
3,15,0.34224560222067313,0.08383178563792205,19,0.15,0.001,,10000,,,
3,16,0.358342040611362,0.08470737635919015,19,0.15,0.001,,10000,,,
3,17,0.3455325882333871,0.04500096187405867,19,0.15,0.001,,10000,,,
3,18,0.2548345488352938,0.04529078597563708,19,0.15,0.001,,10000,,,
3,19,0.2883641520446047,0.06414618264905417,19,0.15,0.001,,10000,,,
4,0,0.24257345128692706,0.0461240162144024,25,0.15,0.001,,10000,,,
4,1,0.25417815344507305,0.04928263114022498,25,0.15,0.001,,10000,,,
4,2,0.3017230970261913,0.07706592041916238,25,0.15,0.001,,10000,,,
4,3,0.25462956279322935,0.05205895805053241,25,0.15,0.001,,10000,,,
4,4,0.26516320254206516,0.08062304559861326,25,0.15,0.001,,10000,,,
4,5,0.22878352473818422,0.03153783692155895,25,0.15,0.001,,10000,,,
4,6,0.2524683891473126,0.07465566240013757,25,0.15,0.001,,10000,,,
4,7,0.2922756022744381,0.052975350299286364,25,0.15,0.001,,10000,,,
4,8,0.24216742535206384,0.0560219368905656,25,0.15,0.001,,10000,,,
4,9,0.30162151792582015,0.0645115609402559,25,0.15,0.001,,10000,,,
4,10,0.22822225295812745,0.0421448316950741,25,0.15,0.001,,10000,,,
