complexity,run,train_mse,test_mse,params,label_corruption,learning_rate,batch_size,epochs,alpha,degree,n_features
1,0,0.31447297977227434,0.08658245508146815,7,0.15,0.01,,10000,,,
1,1,0.40701530370266503,0.17734598282244496,7,0.15,0.01,,10000,,,
1,2,0.2918481321087859,0.09075536778455169,7,0.15,0.01,,10000,,,
1,3,0.26087991836334473,0.06880513094286538,7,0.15,0.01,,10000,,,
1,4,0.34439840434813346,0.1860619263922888,7,0.15,0.01,,10000,,,
1,5,0.31188169509526653,0.08908798448322383,7,0.15,0.01,,10000,,,
1,6,0.3971070263156396,0.18532558657872902,7,0.15,0.01,,10000,,,
1,7,0.3483889575071296,0.18712484071539542,7,0.15,0.01,,10000,,,
1,8,0.4621968565321638,0.20709311331666544,7,0.15,0.01,,10000,,,
1,9,0.2735646670641554,0.06912923230737167,7,0.15,0.01,,10000,,,
1,10,0.24989760277435571,0.06762307491384016,7,0.15,0.01,,10000,,,
1,11,0.3459520184365009,0.10430916015121142,7,0.15,0.01,,10000,,,
1,12,0.4006231134738185,0.1994556125104663,7,0.15,0.01,,10000,,,
1,13,0.3483793810857226,0.1808709113453958,7,0.15,0.01,,10000,,,
1,14,0.31266990606129275,0.18045479165987405,7,0.15,0.01,,10000,,,
1,15,0.41313455956899836,0.19804327123873391,7,0.15,0.01,,10000,,,
1,16,0.2581923672881066,0.07090857243821773,7,0.15,0.01,,10000,,,
1,17,0.35642774892091894,0.11814726203949226,7,0.15,0.01,,10000,,,
1,18,0.3853810237915776,0.18096108860927645,7,0.15,0.01,,10000,,,
1,19,1.016333947950487,1.1421744110471648,7,0.15,0.01,,10000,,,
2,0,0.29536946500532574,0.06273557149807571,13,0.15,0.01,,10000,,,
2,1,0.3234367737909966,0.11042176192724137,13,0.15,0.01,,10000,,,
2,2,0.2679191090161237,0.08452159751682178,13,0.15,0.01,,10000,,,
2,3,0.3035515940608696,0.07828878869288582,13,0.15,0.01,,10000,,,
2,4,0.3288992183311647,0.07400781437539962,13,0.15,0.01,,10000,,,
2,5,0.3023824035098525,0.07989426185961158,13,0.15,0.01,,10000,,,
2,6,0.32149870449217854,0.08848219458912158,13,0.15,0.01,,10000,,,
2,7,0.28032587381539986,0.0627893410072585,13,0.15,0.01,,10000,,,
2,8,0.2521976454845085,0.06723757320664779,13,0.15,0.01,,10000,,,
2,9,0.2966162122698062,0.06987934784922978,13,0.15,0.01,,10000,,,
2,10,0.31247199411533505,0.06608994519264735,13,0.15,0.01,,10000,,,
2,11,0.3238590137383718,0.08385390994142339,13,0.15,0.01,,10000,,,
2,12,0.30477552838070227,0.06209175168959584,13,0.15,0.01,,10000,,,
2,13,0.352802995400765,0.09126289188331885,13,0.15,0.01,,10000,,,
2,14,0.26889142466382265,0.06319086640762792,13,0.15,0.01,,10000,,,
2,15,0.2004272647663824,0.049128933869503906,13,0.15,0.01,,10000,,,
2,16,0.305168185061533,0.04819889815322178,13,0.15,0.01,,10000,,,
2,17,0.3681535229140421,0.08856847112628781,13,0.15,0.01,,10000,,,
2,18,0.2914866314842767,0.07255621763220785,13,0.15,0.01,,10000,,,
2,19,0.3403379928102405,0.0650541680175846,13,0.15,0.01,,10000,,,
3,0,0.20727062941974442,0.062264125902781166,19,0.15,0.01,,10000,,,
3,1,0.33503429888885283,0.04319950349892104,19,0.15,0.01,,10000,,,
3,2,0.42846171210499834,0.2007573418093399,19,0.15,0.01,,10000,,,
3,3,0.26743919704547453,0.06961380421846573,19,0.15,0.01,,10000,,,
3,4,0.26599796356193967,0.05889457844304009,19,0.15,0.01,,10000,,,
3,5,0.26353074951565536,0.03404253032729861,19,0.15,0.01,,10000,,,
3,6,0.31052910151610424,0.07218884066644879,19,0.15,0.01,,10000,,,
3,7,0.24510056020907428,0.032391723819570145,19,0.15,0.01,,10000,,,
3,8,0.20846629428503524,0.037024766210358766,19,0.15,0.01,,10000,,,
3,9,0.31747707022941074,0.05711928123478206,19,0.15,0.01,,10000,,,
3,10,0.23476959260087257,0.05113707304970908,19,0.15,0.01,,10000,,,
3,11,0.2634730546212198,0.047428101718567955,19,0.15,0.01,,10000,,,
3,12,0.2563185005030563,0.04295258039075984,19,0.15,0.01,,10000,,,
3,13,0.23208920681706458,0.060554426876294226,19,0.15,0.01,,10000,,,
3,14,0.2777713424040137,0.06883885214364088,19,0.15,0.01,,10000,,,
3,15,0.3315486934431849,0.08017959738055479,19,0.15,0.01,,10000,,,
3,16,0.35439256832894456,0.07123950153124613,19,0.15,0.01,,10000,,,
3,17,0.359971233019812,0.07174531406060086,19,0.15,0.01,,10000,,,
3,18,0.2600606666681183,0.04561270358189598,19,0.15,0.01,,10000,,,
3,19,0.2694057676791419,0.03562341094200478,19,0.15,0.01,,10000,,,
4,0,0.2379201955739359,0.032925752417255656,25,0.15,0.01,,10000,,,
4,1,0.2528676009812469,0.044381361650762986,25,0.15,0.01,,10000,,,
4,2,0.3137138521413873,0.07605130237430757,25,0.15,0.01,,10000,,,
4,3,0.24804790242978692,0.03920132587038102,25,0.15,0.01,,10000,,,
4,4,0.28149952489868146,0.0612817164137857,25,0.15,0.01,,10000,,,
4,5,0.2295425600529294,0.023802811507613555,25,0.15,0.01,,10000,,,
4,6,0.24788465537114607,0.06636473984782501,25,0.15,0.01,,10000,,,
4,7,0.2926820729155724,0.043184768290761635,25,0.15,0.01,,10000,,,
4,8,0.20364130527929156,0.02808770285622981,25,0.15,0.01,,10000,,,
4,9,0.2951072021515316,0.05923249872440835,25,0.15,0.01,,10000,,,
4,10,0.23503299275961892,0.04117314000063011,25,0.15,0.01,,10000,,,
4,11,0.3163510323108488,0.05716816711490912,25,0.15,0.01,,10000,,,
4,12,0.3623271276017817,0.09393101684730931,25,0.15,0.01,,10000,,,
4,13,0.2764459487446649,0.05449850910784157,25,0.15,0.01,,10000,,,
4,14,0.250567541160339,0.0402754625739963,25,0.15,0.01,,10000,,,
4,15,0.22642802404356582,0.04391997702732021,25,0.15,0.01,,10000,,,
4,16,0.3198118670070149,0.04797261299905636,25,0.15,0.01,,10000,,,
4,17,0.2865075510448992,0.06288476177482057,25,0.15,0.01,,10000,,,
4,18,0.2658900430062323,0.04172591066289191,25,0.15,0.01,,10000,,,
4,19,0.2591730020263819,0.07014802737998667,25,0.15,0.01,,10000,,,
5,0,0.22889601595676437,0.02798504216314132,31,0.15,0.01,,10000,,,
5,1,0.32271957164292225,0.08375532991818155,31,0.15,0.01,,10000,,,
5,2,0.272727637210006,0.04713299788897757,31,0.15,0.01,,10000,,,
5,3,0.18244779194526056,0.03299665005820863,31,0.15,0.01,,10000,,,
5,4,0.2377538869260792,0.05083765831780272,31,0.15,0.01,,10000,,,
5,5,0.23383918108441412,0.06535384557906834,31,0.15,0.01,,10000,,,
5,6,0.24805737671542843,0.06095818533185058,31,0.15,0.01,,10000,,,
5,7,0.27544809722392144,0.05500719131462488,31,0.15,0.01,,10000,,,
5,8,0.27260921689768614,0.05531105824058739,31,0.15,0.01,,10000,,,
5,9,0.270757329143874,0.06990005275516734,31,0.15,0.01,,10000,,,
5,10,0.3012070457624022,0.06726022349848255,31,0.15,0.01,,10000,,,
5,11,0.29744252587964454,0.04456660676181135,31,0.15,0.01,,10000,,,
5,12,0.3340796638285636,0.03897708441504441,31,0.15,0.01,,10000,,,
5,13,0.2222638654535798,0.03973441244380825,31,0.15,0.01,,10000,,,
5,14,0.2713066210359465,0.05855845306059453,31,0.15,0.01,,10000,,,
5,15,0.24436138751618558,0.051830334915181964,31,0.15,0.01,,10000,,,
5,16,0.3159587219854751,0.07687445516072472,31,0.15,0.01,,10000,,,
5,17,0.3526022510273364,0.048537528817021496,31,0.15,0.01,,10000,,,
5,18,0.26505323196335934,0.08121868419329611,31,0.15,0.01,,10000,,,
5,19,0.31649133540956154,0.05708502463102791,31,0.15,0.01,,10000,,,
6,0,0.34481481505928946,0.057237734754387974,37,0.15,0.01,,10000,,,
6,1,0.25322605004647014,0.0485533234634109,37,0.15,0.01,,10000,,,
6,2,0.2578337151376703,0.05511855828551003,37,0.15,0.01,,10000,,,
6,3,0.28564547211225577,0.06750139907673863,37,0.15,0.01,,10000,,,
