complexity,run,train_mse,test_mse,params,label_corruption,learning_rate,batch_size,epochs,alpha,degree,n_features
1,0,0.23889394830182797,0.2586478787585963,13,0.0,0.001,,10000,,,
1,1,0.23412964791135446,0.2554340569611205,13,0.0,0.001,,10000,,,
1,2,0.2388738443207793,0.2586964457495543,13,0.0,0.001,,10000,,,
2,0,0.19422395488485972,0.24990585097614762,25,0.0,0.001,,10000,,,
2,1,0.15368112647418208,0.16789555538620726,25,0.0,0.001,,10000,,,
2,2,0.22323283386156703,0.25178639685469983,25,0.0,0.001,,10000,,,
3,0,0.1282016036130209,0.15248652846271168,37,0.0,0.001,,10000,,,
3,1,0.16182435172704818,0.19107204087804056,37,0.0,0.001,,10000,,,
3,2,0.1323778563213835,0.1661926012944865,37,0.0,0.001,,10000,,,
4,0,0.12839284402601692,0.16279254879761448,49,0.0,0.001,,10000,,,
4,1,0.12577653355510135,0.15529307213502946,49,0.0,0.001,,10000,,,
4,2,0.07704163059120793,0.10278710478812406,49,0.0,0.001,,10000,,,
5,0,0.05016568170873508,0.06769823301300586,61,0.0,0.001,,10000,,,
5,1,0.05333610956477031,0.07488552965843792,61,0.0,0.001,,10000,,,
5,2,0.050643838787373704,0.06580722170649991,61,0.0,0.001,,10000,,,
6,0,0.045984083124572646,0.06823492608155352,73,0.0,0.001,,10000,,,
6,1,0.06338092149035063,0.10307490603579536,73,0.0,0.001,,10000,,,
6,2,0.04381681244039804,0.07024792757989357,73,0.0,0.001,,10000,,,
7,0,0.044637553608634875,0.08367071149457388,85,0.0,0.001,,10000,,,
7,1,0.11075984246300902,0.1626058261159093,85,0.0,0.001,,10000,,,
7,2,0.03784376102933179,0.06103883191052015,85,0.0,0.001,,10000,,,
8,0,0.04352716976627251,0.08070431296871872,97,0.0,0.001,,10000,,,
8,1,0.041880772369413226,0.07939749181751256,97,0.0,0.001,,10000,,,
8,2,0.04017148580757965,0.07102346334865231,97,0.0,0.001,,10000,,,
9,0,0.09034547719779705,0.19816857498336524,109,0.0,0.001,,10000,,,
9,1,0.03918004390834566,0.07264628835266827,109,0.0,0.001,,10000,,,
9,2,0.0358984617470801,0.06542595344209122,109,0.0,0.001,,10000,,,
10,0,0.03660915320212696,0.07478808350478115,121,0.0,0.001,,10000,,,
10,1,0.03572290622762176,0.08178282047065974,121,0.0,0.001,,10000,,,
10,2,0.03292849545606094,0.07055063212408273,121,0.0,0.001,,10000,,,
11,0,0.033570543315709626,0.07972102702493558,133,0.0,0.001,,10000,,,
11,1,0.03445715659571749,0.08133237191616967,133,0.0,0.001,,10000,,,
11,2,0.035347460860184345,0.08580458485509007,133,0.0,0.001,,10000,,,
12,0,0.03131468175152288,0.08193428900271918,145,0.0,0.001,,10000,,,
12,1,0.03490475127226684,0.06849910756392948,145,0.0,0.001,,10000,,,
12,2,0.03273387520727877,0.07611207522560122,145,0.0,0.001,,10000,,,
13,0,0.02693903478301329,0.07782363640131175,157,0.0,0.001,,10000,,,
13,1,0.02965781695568365,0.08191814947496673,157,0.0,0.001,,10000,,,
13,2,0.029164932129182083,0.08542440893335929,157,0.0,0.001,,10000,,,
14,0,0.026363438086633814,0.07301890386240814,169,0.0,0.001,,10000,,,
14,1,0.030872931295010817,0.08948239415525105,169,0.0,0.001,,10000,,,
14,2,0.029129444170049708,0.08768642658764197,169,0.0,0.001,,10000,,,
15,0,0.028514631476217987,0.09044471855833675,181,0.0,0.001,,10000,,,
15,1,0.03005344065004615,0.10508093022937257,181,0.0,0.001,,10000,,,
15,2,0.028285570665909653,0.09614644515856632,181,0.0,0.001,,10000,,,
16,0,0.02654414613039598,0.10219904781231162,193,0.0,0.001,,10000,,,
16,1,0.05158914139249062,0.16875338076262703,193,0.0,0.001,,10000,,,
16,2,0.025807261370559827,0.09498427476003442,193,0.0,0.001,,10000,,,
17,0,0.028756237095791528,0.11619239128225306,205,0.0,0.001,,10000,,,
