complexity,params_mean,params_std,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,learning_rate,batch_size,epochs,alpha,degree,n_features,label_corruption
1,13.0,0.0,0.23729914684465392,0.002241189216859844,0.25759279382309036,0.0015265862389818989,0.001,,10000,,,,0.0
2,25.0,0.0,0.1903793050735363,0.02852421192897812,0.2231959344056849,0.039110808846777444,0.001,,10000,,,,0.0
3,37.0,0.0,0.14080127055381753,0.014963015030026762,0.16991705687841294,0.015971101384184602,0.001,,10000,,,,0.0
4,49.0,0.0,0.1104036693907754,0.02361469168078691,0.1402909085735893,0.02669534305626076,0.001,,10000,,,,0.0
5,61.0,0.0,0.051381876686959704,0.0013955711264568402,0.06946366145931457,0.003910794635095039,0.001,,10000,,,,0.0
6,73.0,0.0,0.0510606056851071,0.008756593771184496,0.08051925323241414,0.01597041324445695,0.001,,10000,,,,0.0
7,85.0,0.0,0.06441371903365856,0.032888815445366724,0.10243845650700112,0.043536458037052146,0.001,,10000,,,,0.0
8,97.0,0.0,0.04185980931442179,0.0013700324314684612,0.07704175604496119,0.004288887238289484,0.001,,10000,,,,0.0
9,109.0,0.0,0.05514132761774093,0.024929116926618262,0.1120802722593749,0.060944948975712364,0.001,,10000,,,,0.0
10,121.0,0.0,0.03508685162860322,0.0015684885400959363,0.07570717869984121,0.004631347229941625,0.001,,10000,,,,0.0
11,133.0,0.0,0.03445838692387049,0.0007254240714901589,0.08228599459873177,0.002573514605065896,0.001,,10000,,,,0.0
12,145.0,0.0,0.03298443607702283,0.0014763096678382123,0.0755151572640833,0.00550110645615267,0.001,,10000,,,,0.0
13,157.0,0.0,0.02858726128929301,0.0011827149064901914,0.08172206493654592,0.003106098585110466,0.001,,10000,,,,0.0
14,169.0,0.0,0.028788604517231448,0.001856701555770256,0.08339590820176705,0.007374190991572397,0.001,,10000,,,,0.0
15,181.0,0.0,0.02895121426405793,0.0007849817272528349,0.09722403131542522,0.006023596210677456,0.001,,10000,,,,0.0
16,193.0,0.0,0.034646849631148814,0.011983785917706826,0.12197890111165767,0.033205443303904,0.001,,10000,,,,0.0
17,205.0,0.0,0.026010109327103386,0.00298156857074785,0.10481116431200516,0.017482464692002417,0.001,,10000,,,,0.0
18,217.0,0.0,0.026218497105103534,0.000639317608748059,0.11217870666370133,0.005635582477419545,0.001,,10000,,,,0.0
19,229.0,0.0,0.022381466813108097,0.0019679566479158654,0.1172909909394138,0.007383535161084825,0.001,,10000,,,,0.0
20,241.0,0.0,0.018385962718542634,0.0025866692616502273,0.10586827557407669,0.00912502817600741,0.001,,10000,,,,0.0
21,253.0,0.0,0.024235490035370972,0.00371912370502807,0.13746889581856073,0.049567204725668966,0.001,,10000,,,,0.0
22,265.0,0.0,0.01564707465282869,0.0015499694918256555,0.10854119494423474,0.003718586234773312,0.001,,10000,,,,0.0
23,277.0,0.0,0.017337536416455704,0.003122715315310466,0.1217288597886385,0.01459446587258877,0.001,,10000,,,,0.0
24,289.0,0.0,0.01834162769982897,0.002741770362081354,0.13012938399068064,0.010285516740537631,0.001,,10000,,,,0.0
25,301.0,0.0,0.01708987676681396,0.004386625218532086,0.12826588950615989,0.00976854108135264,0.001,,10000,,,,0.0
26,313.0,0.0,0.012873462167706405,0.0008413659851672691,0.13087887751263053,0.009010451313381525,0.001,,10000,,,,0.0
27,325.0,0.0,0.01293697330474356,0.0013614894495221897,0.13299982604004665,0.004949338816080775,0.001,,10000,,,,0.0
28,337.0,0.0,0.011398875626016486,0.0010897423562877297,0.13684132694681037,0.015553348563278219,0.001,,10000,,,,0.0
29,349.0,0.0,0.01188058581534328,0.0005779195913413457,0.15518459731586695,0.014484427552343708,0.001,,10000,,,,0.0
30,361.0,0.0,0.010085533670391606,0.00107218942214543,0.13846040830552067,0.007786666212210024,0.001,,10000,,,,0.0
31,373.0,0.0,0.010028368706301907,0.0018214656551264145,0.13637256568304482,0.012774439591715292,0.001,,10000,,,,0.0
32,385.0,0.0,0.008640426385301022,0.0016660999573500821,0.16091766876763677,0.006347677746191936,0.001,,10000,,,,0.0
33,397.0,0.0,0.008434299742427943,0.0017458895714981193,0.17620693836793674,0.012497905344437309,0.001,,10000,,,,0.0
34,409.0,0.0,0.005712973566863971,0.00034658927767269783,0.1625369233174923,0.01709939906971472,0.001,,10000,,,,0.0
35,421.0,0.0,0.005888117085581463,0.0006247333393087451,0.17442954974085775,0.01626917619549123,0.001,,10000,,,,0.0
