complexity,run,train_mse,test_mse,params,label_corruption,learning_rate,batch_size,epochs,alpha,degree,n_features
1,0,0.21199022141551263,0.2350770285240193,13,0.0,0.01,,3000,,,
1,1,0.2072938779432915,0.23162205113711423,13,0.0,0.01,,3000,,,
1,2,0.21198474192000327,0.2350801705810993,13,0.0,0.01,,3000,,,
2,0,0.17179349711315936,0.20187509485035043,25,0.0,0.01,,3000,,,
2,1,0.19764727982684455,0.2271637815237919,25,0.0,0.01,,3000,,,
2,2,0.17124889352214515,0.20368966645673772,25,0.0,0.01,,3000,,,
3,0,0.14486241148029178,0.18658374236520786,37,0.0,0.01,,3000,,,
3,1,0.09686294712032896,0.11849954220206638,37,0.0,0.01,,3000,,,
3,2,0.19734713103774398,0.22643213634224907,37,0.0,0.01,,3000,,,
4,0,0.11949835779203749,0.16013441293304362,49,0.0,0.01,,3000,,,
4,1,0.1388750615303909,0.20088008477589198,49,0.0,0.01,,3000,,,
4,2,0.10246327487486842,0.12192404615773855,49,0.0,0.01,,3000,,,
5,0,0.04235129732564588,0.06350301432928056,61,0.0,0.01,,3000,,,
5,1,0.04535062870123466,0.0676758555615448,61,0.0,0.01,,3000,,,
5,2,0.0517638214495047,0.07259388361299818,61,0.0,0.01,,3000,,,
6,0,0.03928879871771828,0.06018474942695291,73,0.0,0.01,,3000,,,
6,1,0.03266355080319326,0.05039812371428455,73,0.0,0.01,,3000,,,
6,2,0.052476618975501405,0.07735507082542663,73,0.0,0.01,,3000,,,
7,0,0.023404928716059044,0.03812156780421889,85,0.0,0.01,,3000,,,
7,1,0.043801028429058676,0.06989557311573295,85,0.0,0.01,,3000,,,
7,2,0.029105404665932796,0.04028434753458217,85,0.0,0.01,,3000,,,
8,0,0.04243408807743892,0.06532211521342336,97,0.0,0.01,,3000,,,
8,1,0.030632311785755668,0.04903952236356458,97,0.0,0.01,,3000,,,
8,2,0.03440241919874222,0.05179666942426344,97,0.0,0.01,,3000,,,
9,0,0.04415887651488965,0.06320007500066802,109,0.0,0.01,,3000,,,
9,1,0.021934070083739036,0.03719176775181229,109,0.0,0.01,,3000,,,
9,2,0.032745448455011504,0.05408233563523596,109,0.0,0.01,,3000,,,
10,0,0.018483203821993564,0.029682887539731553,121,0.0,0.01,,3000,,,
10,1,0.023729337880183457,0.041093967991803405,121,0.0,0.01,,3000,,,
10,2,0.028958606738062238,0.04752944353586776,121,0.0,0.01,,3000,,,
11,0,0.022482442653802507,0.03348281695356757,133,0.0,0.01,,3000,,,
11,1,0.017553002259653325,0.026881439707925465,133,0.0,0.01,,3000,,,
11,2,0.020845670869713194,0.03165010574288714,133,0.0,0.01,,3000,,,
12,0,0.029086841189993887,0.046855514990087346,145,0.0,0.01,,3000,,,
12,1,0.04450224634284626,0.07829635796657869,145,0.0,0.01,,3000,,,
12,2,0.023942754107879567,0.04493685404464137,145,0.0,0.01,,3000,,,
13,0,0.030060829743120864,0.05529832224767888,157,0.0,0.01,,3000,,,
13,1,0.02141533540048303,0.03661629876251212,157,0.0,0.01,,3000,,,
