complexity,params_mean,params_std,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,learning_rate,batch_size,epochs,alpha,degree,n_features,label_corruption
1,13.0,0.0,0.2593729794452218,0.02368252288926128,0.27248190333723676,0.01965679643660955,0.001,,3000,,,,0.0
2,25.0,0.0,0.1831435853952189,0.02719307163711213,0.21920174300032147,0.03657075639738512,0.001,,3000,,,,0.0
3,37.0,0.0,0.17588379808264643,0.025244270937708486,0.21886478323368544,0.028047082247153833,0.001,,3000,,,,0.0
4,49.0,0.0,0.13467027886409588,0.018271079065226615,0.18083671292328798,0.025037007767919325,0.001,,3000,,,,0.0
5,61.0,0.0,0.15109269790916605,0.03290836567412752,0.19654916307585724,0.041708390078356146,0.001,,3000,,,,0.0
6,73.0,0.0,0.07740532326699841,0.004023032154327163,0.11007298096494206,0.0024599787850505617,0.001,,3000,,,,0.0
7,85.0,0.0,0.07677556658833554,0.025734478709314553,0.11403819838448337,0.039368527031601395,0.001,,3000,,,,0.0
8,97.0,0.0,0.0647520794267974,0.00969662293721317,0.10330034928022158,0.017099837903811116,0.001,,3000,,,,0.0
9,109.0,0.0,0.06640432358459095,0.011881798629082865,0.10727202880312742,0.026085691004373277,0.001,,3000,,,,0.0
10,121.0,0.0,0.03499704775533601,0.01521904205439768,0.06244685454423652,0.025459461426796715,0.001,,3000,,,,0.0
11,133.0,0.0,0.040504566509508316,0.0085819690443415,0.06509986132316731,0.015787039683586915,0.001,,3000,,,,0.0
12,145.0,0.0,0.036489751508746227,0.005998497508614259,0.06387391231394761,0.007719425639499879,0.001,,3000,,,,0.0
13,157.0,0.0,0.03779025835053354,0.01645449346313275,0.07543685131557117,0.031269594173071916,0.001,,3000,,,,0.0
14,169.0,0.0,0.03657928506469551,0.010019054545450008,0.065422539712288,0.015772756569639876,0.001,,3000,,,,0.0
15,181.0,0.0,0.0412591082028732,0.015452671250271619,0.08139130491021429,0.02532562646355482,0.001,,3000,,,,0.0
16,193.0,0.0,0.03907940557417006,0.011220262663516646,0.0796612085681803,0.020337274248818645,0.001,,3000,,,,0.0
17,205.0,0.0,0.032497987540692184,0.010352585513922131,0.0813527769952913,0.01438212179357554,0.001,,3000,,,,0.0
18,217.0,0.0,0.026890964625919788,0.002749426318289134,0.06668447927990452,0.009221636083837689,0.001,,3000,,,,0.0
19,229.0,0.0,0.029427651132332325,0.013254656170724365,0.07067407132334187,0.016069521135848246,0.001,,3000,,,,0.0
20,241.0,0.0,0.02184491821097165,0.0013863362088281951,0.05662774884558872,0.003881098853664078,0.001,,3000,,,,0.0
21,253.0,0.0,0.03253736641758112,0.006339933290360702,0.08533579928683543,0.022002574268017504,0.001,,3000,,,,0.0
22,265.0,0.0,0.022048099928656726,0.006139257846019841,0.06591147820626066,0.026767661326325874,0.001,,3000,,,,0.0
23,277.0,0.0,0.016852648321477714,0.0019414518492975037,0.051365481521354284,0.003874089756073845,0.001,,3000,,,,0.0
24,289.0,0.0,0.02489987205170653,0.010698176930420304,0.07329607448316268,0.02110087262186001,0.001,,3000,,,,0.0
25,301.0,0.0,0.01850374603242508,0.006720378373683409,0.06420137938838098,0.027170732065305844,0.001,,3000,,,,0.0
26,313.0,0.0,0.015777558459377058,0.0016043622173244462,0.06130361277911237,0.013819349221486013,0.001,,3000,,,,0.0
27,325.0,0.0,0.015858890295851545,0.005338051735939467,0.06380410871564873,0.013490530887486049,0.001,,3000,,,,0.0
28,337.0,0.0,0.020424265347557525,0.0024849047943609716,0.07415879093603595,0.008334802395724525,0.001,,3000,,,,0.0
29,349.0,0.0,0.023953186023007143,0.006964360695127365,0.08268623965335453,0.008151176086701054,0.001,,3000,,,,0.0
30,361.0,0.0,0.011604910152765498,0.00267377329492623,0.05436399123241726,0.01157664985773288,0.001,,3000,,,,0.0
31,373.0,0.0,0.01744226680012206,0.00505121852458962,0.06420662312334761,0.009538117846618616,0.001,,3000,,,,0.0
32,385.0,0.0,0.015513396181718842,0.0028888528302722137,0.07688534080780017,0.0243488106700722,0.001,,3000,,,,0.0
33,397.0,0.0,0.02089532780891457,0.010318464538401502,0.07878100530540999,0.019843096593395535,0.001,,3000,,,,0.0
34,409.0,0.0,0.011620958779530574,0.003525461920102888,0.05659059909336716,0.01024420164912729,0.001,,3000,,,,0.0
35,421.0,0.0,0.010701413050558243,0.0020047101090032056,0.06509057143696766,0.004031079298843559,0.001,,3000,,,,0.0
36,433.0,0.0,0.018631500462942038,0.004724235316768077,0.08195236659121073,0.013321787260147495,0.001,,3000,,,,0.0
37,445.0,0.0,0.015789080065302902,0.006648382230574143,0.08131071046714893,0.01689745237816084,0.001,,3000,,,,0.0
38,457.0,0.0,0.01163410986385171,0.0027361564995264905,0.06064644843483704,0.005816911662421007,0.001,,3000,,,,0.0
39,469.0,0.0,0.015378107848643208,0.0018548900954846361,0.08537997078500226,0.012728019620662992,0.001,,3000,,,,0.0
40,481.0,0.0,0.010263600063085207,0.0015727628619038095,0.0643689618447222,0.002659212708743544,0.001,,3000,,,,0.0
41,493.0,0.0,0.00644842091226757,0.0009815708951413727,0.053193406177164115,0.014714275989097124,0.001,,3000,,,,0.0
42,505.0,0.0,0.006470614411583296,0.0025058442818675164,0.054842781551711635,0.012662490358578984,0.001,,3000,,,,0.0
43,517.0,0.0,0.00885616590640792,0.0015677316942332617,0.07018339119715056,0.007022489585039035,0.001,,3000,,,,0.0
44,529.0,0.0,0.005864633042819706,0.00047772139508508137,0.06123651437130246,0.010850508927176629,0.001,,3000,,,,0.0
45,541.0,0.0,0.008822073548775169,0.003788209078794625,0.06687504213712143,0.01710434827701421,0.001,,3000,,,,0.0
46,553.0,0.0,0.006188413555772543,0.0018038567298365156,0.06313583421891047,0.012252125092461465,0.001,,3000,,,,0.0
47,565.0,0.0,0.004804077602381996,0.0008139614743228989,0.05918730440919499,0.012358946351409692,0.001,,3000,,,,0.0
48,577.0,0.0,0.007381468958621656,0.0019315546037369103,0.07289727884979809,0.007385584836856679,0.001,,3000,,,,0.0
49,589.0,0.0,0.0048839499141220795,0.0015499885034269709,0.059509177834125015,0.01334999740306451,0.001,,3000,,,,0.0
50,601.0,0.0,0.004682407246896854,0.0010452690736853492,0.06483564953696103,0.015375918330502931,0.001,,3000,,,,0.0
51,613.0,0.0,0.004755603616408061,0.0009464913843558595,0.06787078014328123,0.008954009086402598,0.001,,3000,,,,0.0
52,625.0,0.0,0.007436667354367759,0.002972078071184081,0.08468322075379392,0.004216678588261444,0.001,,3000,,,,0.0
53,637.0,0.0,0.0037953582379928927,0.0018618895770528355,0.07211372034660947,0.012616565565618467,0.001,,3000,,,,0.0
54,649.0,0.0,0.006908051933663387,0.0038624986506695293,0.08780847415460878,0.002602459182664476,0.001,,3000,,,,0.0
55,661.0,0.0,0.006907139123211079,0.001351867994510837,0.08890530533651354,0.01758096088807128,0.001,,3000,,,,0.0
56,673.0,0.0,0.007358215006117365,0.003054050948422546,0.09585706535889138,0.025438558446538806,0.001,,3000,,,,0.0
57,685.0,0.0,0.005537270400317752,0.0013745447116404303,0.09367490581908944,0.028914322412509613,0.001,,3000,,,,0.0
58,697.0,0.0,0.01036437483729527,0.005004546726726186,0.10957406594029295,0.010927925346176887,0.001,,3000,,,,0.0
59,709.0,0.0,0.005410776121410954,0.0028378151718401507,0.08176430798706376,0.03210563125832571,0.001,,3000,,,,0.0
60,721.0,0.0,0.005751873782471289,0.00034671088484077337,0.07651488442008052,0.0017447787164500315,0.001,,3000,,,,0.0
61,733.0,0.0,0.00946876589050267,0.00423139968511718,0.10710520700927367,0.008638414633951012,0.001,,3000,,,,0.0
62,745.0,0.0,0.0030548386047701986,0.0019954167076853633,0.06725698597036918,0.010345964252061638,0.001,,3000,,,,0.0
63,757.0,0.0,0.004761303841390441,0.0006230933725805706,0.09555136319808229,0.02739046918509367,0.001,,3000,,,,0.0
64,769.0,0.0,0.006006124692957353,0.0010325526563033966,0.10779715542723294,0.01118273482116054,0.001,,3000,,,,0.0
65,781.0,0.0,0.006544839186891767,0.0024931470893077446,0.09771280983348113,0.018204301393886207,0.001,,3000,,,,0.0
66,793.0,0.0,0.0046734667305246575,0.0033126314506022204,0.09102074233880232,0.015143784878965906,0.001,,3000,,,,0.0
67,805.0,0.0,0.003833935772504724,0.0005227798396143297,0.08798482689441993,0.02932217223654457,0.001,,3000,,,,0.0
68,817.0,0.0,0.0026894990527228067,0.00013656464188491256,0.06781371842830852,0.006652174996712071,0.001,,3000,,,,0.0
