complexity,run,train_mse,test_mse,params,label_corruption,learning_rate,batch_size,epochs,alpha,degree,n_features
1,0,0.4758382932579156,0.3313228014945516,13,0.15,0.001,,3000,,,
1,1,0.42411850330701156,0.30071256099862786,13,0.15,0.001,,3000,,,
1,2,0.43105591437617796,0.2964133880691411,13,0.15,0.001,,3000,,,
2,0,0.4175530830597014,0.28565407571713625,25,0.15,0.001,,3000,,,
2,1,0.4379743665895868,0.31866011745129286,25,0.15,0.001,,3000,,,
2,2,0.3872972831991848,0.24758747362023953,25,0.15,0.001,,3000,,,
3,0,0.43983991904575404,0.2706585463344744,37,0.15,0.001,,3000,,,
3,1,0.37410559032235025,0.24988934799955945,37,0.15,0.001,,3000,,,
3,2,0.452178676522882,0.3120878959662983,37,0.15,0.001,,3000,,,
4,0,0.3537062300390049,0.24762818808519024,49,0.15,0.001,,3000,,,
4,1,0.30082013939684066,0.26577906618748603,49,0.15,0.001,,3000,,,
4,2,0.2908003444337043,0.2117371162961356,49,0.15,0.001,,3000,,,
5,0,0.3973110895316566,0.2601482103379729,61,0.15,0.001,,3000,,,
5,1,0.4685538662724614,0.33294147782395395,61,0.15,0.001,,3000,,,
5,2,0.32605923319732655,0.25000902517264667,61,0.15,0.001,,3000,,,
6,0,0.27722896340465014,0.16232051396443925,73,0.15,0.001,,3000,,,
6,1,0.3492128003004435,0.20482988734668303,73,0.15,0.001,,3000,,,
6,2,0.27918393277120207,0.17663778072264874,73,0.15,0.001,,3000,,,
7,0,0.27766074045429456,0.15659821980246394,85,0.15,0.001,,3000,,,
7,1,0.28587068399881366,0.21509898567967822,85,0.15,0.001,,3000,,,
7,2,0.37637860491320724,0.20327419725553011,85,0.15,0.001,,3000,,,
8,0,0.3248193320280866,0.19686144891184823,97,0.15,0.001,,3000,,,
8,1,0.2694088326875539,0.15272929308439764,97,0.15,0.001,,3000,,,
8,2,0.2620076984652605,0.16857757030328507,97,0.15,0.001,,3000,,,
9,0,0.28125246170550067,0.23370503205102777,109,0.15,0.001,,3000,,,
9,1,0.33038493264196134,0.21534313480847767,109,0.15,0.001,,3000,,,
9,2,0.30638968919817766,0.19034332168208223,109,0.15,0.001,,3000,,,
10,0,0.30074104168211363,0.1870994530955929,121,0.15,0.001,,3000,,,
10,1,0.24442244330299695,0.15819687468261254,121,0.15,0.001,,3000,,,
10,2,0.2526871213422817,0.16850415163114638,121,0.15,0.001,,3000,,,
11,0,0.22263720784178706,0.15479217974457607,133,0.15,0.001,,3000,,,
11,1,0.25878074584263405,0.19006216274840623,133,0.15,0.001,,3000,,,
11,2,0.17809513815179612,0.10678418869306468,133,0.15,0.001,,3000,,,
12,0,0.2481483170932691,0.18091280836058923,145,0.15,0.001,,3000,,,
12,1,0.2392322914245724,0.15284175736249583,145,0.15,0.001,,3000,,,
12,2,0.23348862461089384,0.17326065506357566,145,0.15,0.001,,3000,,,
13,0,0.21260187449979562,0.2191856053889851,157,0.15,0.001,,3000,,,
13,1,0.17232950286347568,0.26602688525333873,157,0.15,0.001,,3000,,,
13,2,0.3020963599332597,0.2141353766392303,157,0.15,0.001,,3000,,,
14,0,0.2473148202509011,0.14929797578083281,169,0.15,0.001,,3000,,,
14,1,0.169058266022748,0.17063740717795378,169,0.15,0.001,,3000,,,
14,2,0.21830666221884637,0.1615035939620335,169,0.15,0.001,,3000,,,
15,0,0.21055890219622356,0.19855087625244047,181,0.15,0.001,,3000,,,
15,1,0.21703637754536406,0.21555346080402768,181,0.15,0.001,,3000,,,
15,2,0.21775909905706436,0.17766564057717016,181,0.15,0.001,,3000,,,
16,0,0.2150296957201092,0.19854459853104073,193,0.15,0.001,,3000,,,
16,1,0.19776349855473688,0.1740385618210068,193,0.15,0.001,,3000,,,
16,2,0.2204361025154277,0.22652556355897757,193,0.15,0.001,,3000,,,
17,0,0.22948695336068084,0.21516354242658237,205,0.15,0.001,,3000,,,
17,1,0.20217405294776716,0.15910753848466502,205,0.15,0.001,,3000,,,
17,2,0.16767696232709878,0.18971514218034585,205,0.15,0.001,,3000,,,
18,0,0.18160990235058902,0.2263640215381588,217,0.15,0.001,,3000,,,
18,1,0.19526605564242386,0.20576634519238907,217,0.15,0.001,,3000,,,
18,2,0.18229269281410831,0.20739028712061577,217,0.15,0.001,,3000,,,
19,0,0.19231323744096004,0.20855184699561444,229,0.15,0.001,,3000,,,
19,1,0.1656041839569826,0.22044327714300596,229,0.15,0.001,,3000,,,
