complexity,params_mean,params_std,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,learning_rate,batch_size,epochs,alpha,degree,n_features,label_corruption
1,7.0,0.0,0.08880232110701344,0.04221792632055034,0.09400020637367598,0.04763585317287337,0.001,,10000,,,,0.0
2,13.0,0.0,0.06128765809874613,0.0402168010722895,0.06535757310587956,0.043908359298813225,0.001,,10000,,,,0.0
3,19.0,0.0,0.0361406807264462,0.01576619023846872,0.03487331459949162,0.014650974393239856,0.001,,10000,,,,0.0
5,31.0,0.0,0.005777473488923449,0.0008642389491083368,0.0067696404761789855,0.0008172621228141881,0.001,,10000,,,,0.0
7,43.0,0.0,0.0034562873474993797,0.0013961870396050353,0.00446425537720895,0.0018542197678734307,0.001,,10000,,,,0.0
10,61.0,0.0,0.003213256689437978,0.00040609012532681843,0.0047981284537713985,0.000772754770056438,0.001,,10000,,,,0.0
15,91.0,0.0,0.0024073411191572933,0.0008083946494227603,0.0038660778048019684,0.0011715153445909412,0.001,,10000,,,,0.0
20,121.0,0.0,0.0021868076246067806,0.000998395396674144,0.004111416398136333,0.0019673705948845153,0.001,,10000,,,,0.0
30,181.0,0.0,0.0012220188563962268,0.0006413234018452439,0.002900463998929091,0.0015511413638342262,0.001,,10000,,,,0.0
42,253.0,0.0,0.0008187811086689944,0.0003867844830046388,0.0027291779864876517,0.0013086495168463505,0.001,,10000,,,,0.0
50,301.0,0.0,0.0007957800373583296,0.00018803077779341943,0.0034612849744485646,0.0008204533991979846,0.001,,10000,,,,0.0
60,361.0,0.0,0.00047265405573476276,4.8407700569563325e-05,0.002800985479746731,0.0003735945564451203,0.001,,10000,,,,0.0
75,451.0,0.0,0.0004046303897273381,0.0001367031334503793,0.004149459221334595,0.0016365188291084932,0.001,,10000,,,,0.0
100,601.0,0.0,0.00018363305456329035,5.260808085518933e-05,0.003705614690867039,0.0014450582083781296,0.001,,10000,,,,0.0
150,901.0,0.0,0.00010976144257316764,4.234036862367685e-05,0.005073055009766446,0.0013655287228797523,0.001,,10000,,,,0.0
200,1201.0,0.0,6.262492992635616e-05,1.8361158024688088e-05,0.005930422339873535,0.001237662915103029,0.001,,10000,,,,0.0
300,1801.0,0.0,3.2401903476401417e-05,1.5720367969648372e-05,0.005224435724014494,0.0009805946613972063,0.001,,10000,,,,0.0
400,2401.0,0.0,0.0005170802774551446,0.0006120478526343913,0.006166705546132007,0.00042600197336434997,0.001,,10000,,,,0.0
