complexity,run,train_mse,test_mse,params,label_corruption,learning_rate,batch_size,epochs,alpha,degree,n_features
1,0,0.9428984576085605,0.895208016736542,7,0.0,0.001,,10000,,,
1,1,0.9992322234123238,0.9446818563633057,7,0.0,0.001,,10000,,,
1,2,0.9817145891503841,0.9343086102203253,7,0.0,0.001,,10000,,,
1,3,0.9761226226123795,0.9437186680530751,7,0.0,0.001,,10000,,,
1,4,0.9328470277700771,0.8797570547151533,7,0.0,0.001,,10000,,,
2,0,0.9030056504439474,0.8869237686890212,13,0.0,0.001,,10000,,,
2,1,0.9355299616598229,0.9039945972563241,13,0.0,0.001,,10000,,,
2,2,0.9246016605165657,0.8961699136833052,13,0.0,0.001,,10000,,,
2,3,0.9170062865620592,0.8929290931377536,13,0.0,0.001,,10000,,,
2,4,0.9112206387308174,0.8955495465654579,13,0.0,0.001,,10000,,,
3,0,0.9262634203350936,0.8810268170795519,19,0.0,0.001,,10000,,,
3,1,0.9210245727115652,0.8824839267923967,19,0.0,0.001,,10000,,,
3,2,0.9101971210079697,0.8871625951201925,19,0.0,0.001,,10000,,,
3,3,0.9143668706454171,0.9063152203563584,19,0.0,0.001,,10000,,,
3,4,0.9339593258169726,0.9206530750615204,19,0.0,0.001,,10000,,,
5,0,0.8620604230718721,0.9339317736017158,31,0.0,0.001,,10000,,,
5,1,0.9054000597979189,0.899661158327026,31,0.0,0.001,,10000,,,
5,2,0.881487084156718,0.9039650699389022,31,0.0,0.001,,10000,,,
5,3,0.8885880178626944,0.9129883452250797,31,0.0,0.001,,10000,,,
5,4,0.9205950772517775,0.9268373574714189,31,0.0,0.001,,10000,,,
7,0,0.8674878477728644,0.9380355370412233,43,0.0,0.001,,10000,,,
7,1,0.8936267008959358,0.9289478981946311,43,0.0,0.001,,10000,,,
7,2,0.8562113832657872,0.9951639318777435,43,0.0,0.001,,10000,,,
7,3,0.8584455304546847,0.9445403377037059,43,0.0,0.001,,10000,,,
7,4,0.9073890301917718,0.9062536365306644,43,0.0,0.001,,10000,,,
10,0,0.8292452579070123,1.0212685141371733,61,0.0,0.001,,10000,,,
10,1,0.8087615266503351,0.9616425796644592,61,0.0,0.001,,10000,,,
10,2,0.8156202151376162,0.9865748579109136,61,0.0,0.001,,10000,,,
10,3,0.8426680250501191,0.9288542085676388,61,0.0,0.001,,10000,,,
10,4,0.8493239327774287,0.9723105767031744,61,0.0,0.001,,10000,,,
15,0,0.8235684481705955,1.023489311153771,91,0.0,0.001,,10000,,,
15,1,0.7657533550820926,1.0726218133263212,91,0.0,0.001,,10000,,,
15,2,0.7838092086323615,1.0727432097547303,91,0.0,0.001,,10000,,,
15,3,0.7642669289496662,1.100178741537597,91,0.0,0.001,,10000,,,
15,4,0.7974898890280212,0.9993403039178811,91,0.0,0.001,,10000,,,
20,0,0.7340155185658753,1.0718019156383611,121,0.0,0.001,,10000,,,
20,1,0.7103370854294097,1.0929231143072133,121,0.0,0.001,,10000,,,
20,2,0.7083861154373223,1.1141151452059863,121,0.0,0.001,,10000,,,
20,3,0.7260005818424177,1.0507649705645001,121,0.0,0.001,,10000,,,
20,4,0.6960056917503732,1.136470875514982,121,0.0,0.001,,10000,,,
30,0,0.5927997213171079,1.3181349335041987,181,0.0,0.001,,10000,,,
