complexity,run,train_mse,test_mse,params,label_corruption,learning_rate,batch_size,epochs,alpha,degree,n_features
1,0,0.9710201541845731,1.139086368309509,1,0.15,,,,0.0001,7,
1,1,1.0559205213813998,1.139086368309509,1,0.15,,,,0.0001,7,
1,2,0.9365146259353346,1.139086368309509,1,0.15,,,,0.0001,7,
1,3,1.0120507566735342,1.139086368309509,1,0.15,,,,0.0001,7,
1,4,0.960927331734044,1.139086368309509,1,0.15,,,,0.0001,7,
1,5,0.9771007654557109,1.139086368309509,1,0.15,,,,0.0001,7,
1,6,1.0218147012290508,1.139086368309509,1,0.15,,,,0.0001,7,
1,7,0.9684306985590455,1.139086368309509,1,0.15,,,,0.0001,7,
1,8,0.9990673533202117,1.139086368309509,1,0.15,,,,0.0001,7,
1,9,1.0167270737437684,1.139086368309509,1,0.15,,,,0.0001,7,
1,10,0.9966416706788055,1.139086368309509,1,0.15,,,,0.0001,7,
1,11,0.9554037207956073,1.139086368309509,1,0.15,,,,0.0001,7,
1,12,0.9837812567431353,1.139086368309509,1,0.15,,,,0.0001,7,
1,13,0.9921463112318853,1.139086368309509,1,0.15,,,,0.0001,7,
1,14,0.9531602907583242,1.139086368309509,1,0.15,,,,0.0001,7,
1,15,0.9755897610729298,1.139086368309509,1,0.15,,,,0.0001,7,
1,16,0.9918531124666564,1.139086368309509,1,0.15,,,,0.0001,7,
1,17,0.9685367220291451,1.139086368309509,1,0.15,,,,0.0001,7,
1,18,1.0193935109903394,1.139086368309509,1,0.15,,,,0.0001,7,
1,19,1.0170375635845417,1.139086368309509,1,0.15,,,,0.0001,7,
2,0,1.0356001546035323,1.142620596104915,2,0.15,,,,0.0001,7,
2,1,1.0177440297487685,1.1422542221203624,2,0.15,,,,0.0001,7,
2,2,0.9961261537826039,1.1452458701194115,2,0.15,,,,0.0001,7,
2,3,1.0136908041175694,1.153454587171323,2,0.15,,,,0.0001,7,
2,4,1.0162110466911063,1.1440735299791285,2,0.15,,,,0.0001,7,
2,5,0.9823042903909156,1.1446547852325952,2,0.15,,,,0.0001,7,
2,6,0.9744619820769727,1.1553515798164098,2,0.15,,,,0.0001,7,
2,7,1.0154518128623906,1.142890635402001,2,0.15,,,,0.0001,7,
2,8,0.9717938394204136,1.1402028431221838,2,0.15,,,,0.0001,7,
2,9,0.9934195820355772,1.1470859831999538,2,0.15,,,,0.0001,7,
2,10,1.0294179634837315,1.1472188212530803,2,0.15,,,,0.0001,7,
2,11,0.9662622159892966,1.1422137154544654,2,0.15,,,,0.0001,7,
2,12,1.039515877774386,1.1443436989208167,2,0.15,,,,0.0001,7,
2,13,0.9811646515714985,1.1475979086264665,2,0.15,,,,0.0001,7,
2,14,0.9896479487384731,1.144601253207477,2,0.15,,,,0.0001,7,
2,15,0.9863573447416855,1.1437475133712605,2,0.15,,,,0.0001,7,
2,16,1.006503046334778,1.1439345699594379,2,0.15,,,,0.0001,7,
2,17,0.9971032498753603,1.1419111074486945,2,0.15,,,,0.0001,7,
2,18,0.9549976057659828,1.1428356688427035,2,0.15,,,,0.0001,7,
2,19,1.0087855886214805,1.145431228657774,2,0.15,,,,0.0001,7,
3,0,0.7135168097732102,0.7409836615371782,3,0.15,,,,0.0001,7,
3,1,0.8026164505682494,0.7492725738419413,3,0.15,,,,0.0001,7,
3,2,0.7481662584454662,0.7548159960308174,3,0.15,,,,0.0001,7,
3,3,0.7192848416502233,0.7443019490858851,3,0.15,,,,0.0001,7,
3,4,0.7069149265245215,0.7482236853668187,3,0.15,,,,0.0001,7,
3,5,0.7720582962912381,0.7495536422915636,3,0.15,,,,0.0001,7,
3,6,0.7495276728259882,0.7645181874557536,3,0.15,,,,0.0001,7,
3,7,0.783112545949134,0.755347677212696,3,0.15,,,,0.0001,7,
3,8,0.748415035683993,0.7543022174932129,3,0.15,,,,0.0001,7,
3,9,0.7768166139316123,0.7557229032455881,3,0.15,,,,0.0001,7,
3,10,0.7855261553778596,0.7501168870641473,3,0.15,,,,0.0001,7,
3,11,0.7454552818196876,0.7401427375470245,3,0.15,,,,0.0001,7,
3,12,0.7661250068749209,0.7574490977082328,3,0.15,,,,0.0001,7,
3,13,0.7173548129500955,0.7689781270044549,3,0.15,,,,0.0001,7,
3,14,0.766355228731027,0.7425472861208973,3,0.15,,,,0.0001,7,
3,15,0.7969995229221688,0.755959251826518,3,0.15,,,,0.0001,7,
3,16,0.7717509234663393,0.7646397184993889,3,0.15,,,,0.0001,7,
3,17,0.8709244811270508,0.7665532948350345,3,0.15,,,,0.0001,7,
3,18,0.7157799318319098,0.7461766570044902,3,0.15,,,,0.0001,7,
3,19,0.768869452628662,0.7491130594692396,3,0.15,,,,0.0001,7,
4,0,0.375181463822957,0.18181763802143805,4,0.15,,,,0.0001,7,
4,1,0.36701976665425,0.19300351954121925,4,0.15,,,,0.0001,7,
4,2,0.40297223708936625,0.1993856631142362,4,0.15,,,,0.0001,7,
4,3,0.34846428885905173,0.17863670705388301,4,0.15,,,,0.0001,7,
4,4,0.3773528055413358,0.18178889466550374,4,0.15,,,,0.0001,7,
4,5,0.3580185259557095,0.17375812932171952,4,0.15,,,,0.0001,7,
4,6,0.33680928756532635,0.18791680360050242,4,0.15,,,,0.0001,7,
4,7,0.42185013623142525,0.19680203133099997,4,0.15,,,,0.0001,7,
4,8,0.34334346909669505,0.17309164927175888,4,0.15,,,,0.0001,7,
4,9,0.3970921183936024,0.16906002777582912,4,0.15,,,,0.0001,7,
4,10,0.3327888028918744,0.1788016743374983,4,0.15,,,,0.0001,7,
4,11,0.42482615524659034,0.19502987244510625,4,0.15,,,,0.0001,7,
4,12,0.4514153931408457,0.1900494834959444,4,0.15,,,,0.0001,7,
4,13,0.3840632647671456,0.18864200890695723,4,0.15,,,,0.0001,7,
4,14,0.36318957356977183,0.17826690711852086,4,0.15,,,,0.0001,7,
4,15,0.3446759932030956,0.18069933463067184,4,0.15,,,,0.0001,7,
4,16,0.4587047927501265,0.18171488819222764,4,0.15,,,,0.0001,7,
4,17,0.45740456489686415,0.19664329476342776,4,0.15,,,,0.0001,7,
4,18,0.3766183537895004,0.1797353598039088,4,0.15,,,,0.0001,7,
4,19,0.3770533814919022,0.18049185078512858,4,0.15,,,,0.0001,7,
5,0,0.33682000455570915,0.16822108538290148,5,0.15,,,,0.0001,7,
5,1,0.40735089140022107,0.19372443292843644,5,0.15,,,,0.0001,7,
5,2,0.38742223667889253,0.19084653867269327,5,0.15,,,,0.0001,7,
5,3,0.30337963685689734,0.17757263764220899,5,0.15,,,,0.0001,7,
5,4,0.3685876598512547,0.18359211296559458,5,0.15,,,,0.0001,7,
5,5,0.3530274313960609,0.192328671976868,5,0.15,,,,0.0001,7,
5,6,0.3532935794696939,0.19239238192889138,5,0.15,,,,0.0001,7,
5,7,0.389070012353472,0.17896077714046357,5,0.15,,,,0.0001,7,
5,8,0.36808348220516884,0.19155740061548632,5,0.15,,,,0.0001,7,
5,9,0.39824746797263605,0.20396205141462667,5,0.15,,,,0.0001,7,
5,10,0.41744457734236307,0.20350618432192186,5,0.15,,,,0.0001,7,
5,11,0.41983058143243324,0.18745655258700852,5,0.15,,,,0.0001,7,
5,12,0.4518369696283224,0.19500910147988368,5,0.15,,,,0.0001,7,
5,13,0.3296439552940386,0.18549684851745973,5,0.15,,,,0.0001,7,
5,14,0.37236061596718717,0.18845327606404255,5,0.15,,,,0.0001,7,
5,15,0.3973009885934505,0.1813197656358082,5,0.15,,,,0.0001,7,
5,16,0.4299397769744463,0.21473240945033206,5,0.15,,,,0.0001,7,
5,17,0.4501075760000474,0.1904298503442367,5,0.15,,,,0.0001,7,
5,18,0.35531584508876063,0.19963811683853588,5,0.15,,,,0.0001,7,
5,19,0.4233339056851589,0.19522511607343357,5,0.15,,,,0.0001,7,
6,0,0.4683032519009455,0.19073397627752783,6,0.15,,,,0.0001,7,
6,1,0.3587448994483619,0.18787127808643128,6,0.15,,,,0.0001,7,
6,2,0.3945030617309699,0.20447621037144045,6,0.15,,,,0.0001,7,
6,3,0.40175563262811054,0.20247317072736126,6,0.15,,,,0.0001,7,
6,4,0.3488542367352568,0.17181269393791251,6,0.15,,,,0.0001,7,
6,5,0.42523497554405926,0.1888621384575297,6,0.15,,,,0.0001,7,
6,6,0.4417973305387389,0.18974047580880546,6,0.15,,,,0.0001,7,
6,7,0.3803706508223444,0.178605913107779,6,0.15,,,,0.0001,7,
6,8,0.444628720923493,0.18273693744097125,6,0.15,,,,0.0001,7,
6,9,0.38884303725076513,0.1902358247293991,6,0.15,,,,0.0001,7,
6,10,0.3381089493071638,0.19005462913965449,6,0.15,,,,0.0001,7,
6,11,0.34128910206818547,0.18722870834405494,6,0.15,,,,0.0001,7,
6,12,0.38787900751123555,0.18705341297469946,6,0.15,,,,0.0001,7,
6,13,0.37556380530900396,0.1937189015450178,6,0.15,,,,0.0001,7,
6,14,0.3359909010449794,0.18165396618359694,6,0.15,,,,0.0001,7,
6,15,0.347961383961936,0.18592802266472663,6,0.15,,,,0.0001,7,
6,16,0.4257938576629549,0.1999775409533571,6,0.15,,,,0.0001,7,
6,17,0.3909672621253782,0.17483393131766445,6,0.15,,,,0.0001,7,
6,18,0.386031819271396,0.18379241408878688,6,0.15,,,,0.0001,7,
6,19,0.3318707219469105,0.1819671789629846,6,0.15,,,,0.0001,7,
7,0,0.48129243592035703,0.2181744776493887,7,0.15,,,,0.0001,7,
7,1,0.41520494765694627,0.19753719123992805,7,0.15,,,,0.0001,7,
7,2,0.35923078304662964,0.1839754627631076,7,0.15,,,,0.0001,7,
7,3,0.3601558703246629,0.17225535452729554,7,0.15,,,,0.0001,7,
7,4,0.3357778206210943,0.18472873856325397,7,0.15,,,,0.0001,7,
7,5,0.39943849285730004,0.17509031619137458,7,0.15,,,,0.0001,7,
7,6,0.4051349513159586,0.19556229892175148,7,0.15,,,,0.0001,7,
