complexity,params_mean,params_std,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,learning_rate,batch_size,epochs,alpha,degree,n_features,label_corruption
1,1.0,0.0,1.0021898056892502,0.03025767849598863,0.9407351301904501,1.1102230246251565e-16,,,,0.0001,3,,0.15
2,2.0,0.0,0.9900263274681828,0.0324312081407858,0.9296901256142114,0.0013842245421063562,,,,0.0001,3,,0.15
3,3.0,0.0,0.9861422866646626,0.03087671228896076,0.9187077367236915,0.0011993311987635645,,,,0.0001,3,,0.15
4,4.0,0.0,0.9528908745692053,0.03574949037146177,0.8919643795894433,0.0012720107780985013,,,,0.0001,3,,0.15
5,5.0,0.0,0.9616222635732657,0.02827171956526317,0.8929477738268475,0.002264123897524421,,,,0.0001,3,,0.15
6,6.0,0.0,0.9513596383404984,0.029871090979812852,0.8968678433875127,0.004987092308001842,,,,0.0001,3,,0.15
7,7.0,0.0,0.9522255611008592,0.033829279893505045,0.8972526603707475,0.003575345988572079,,,,0.0001,3,,0.15
8,8.0,0.0,0.9386927214773637,0.029647916751611544,0.8943874203830995,0.0038184753706759387,,,,0.0001,3,,0.15
9,9.0,0.0,0.951788135353483,0.030184088383430546,0.8952070441529727,0.004289222914626096,,,,0.0001,3,,0.15
10,10.0,0.0,0.9470883562697727,0.024335475484336372,0.8959047698231091,0.0050201045102845334,,,,0.0001,3,,0.15
11,11.0,0.0,0.949815476923612,0.026650704707434768,0.8987043644837845,0.0059395499071613535,,,,0.0001,3,,0.15
12,12.0,0.0,0.9445472532620317,0.027559083241398684,0.8981997252619807,0.006399541895342921,,,,0.0001,3,,0.15
13,13.0,0.0,0.9399725493963389,0.029051266931787282,0.8916034132043178,0.005128781117425501,,,,0.0001,3,,0.15
14,14.0,0.0,0.93486687342764,0.03404764513584345,0.8930266940595043,0.007015815558408036,,,,0.0001,3,,0.15
15,15.0,0.0,0.9306457016326195,0.031466763047748564,0.8904845022140361,0.007639658860960958,,,,0.0001,3,,0.15
16,16.0,0.0,0.9352475164017003,0.032345768831755176,0.8921958566181618,0.0068707632980659,,,,0.0001,3,,0.15
17,17.0,0.0,0.9310501973060582,0.033021920746364244,0.8926832111964861,0.006243525286003987,,,,0.0001,3,,0.15
18,18.0,0.0,0.9261761045194866,0.03687236531919416,0.898102945488477,0.008458987954404251,,,,0.0001,3,,0.15
19,19.0,0.0,0.9275460222153682,0.028952985005746838,0.8977205505627218,0.008789272718558202,,,,0.0001,3,,0.15
20,20.0,0.0,0.9221087246870012,0.02606289917745945,0.9000302716555987,0.008764915628113585,,,,0.0001,3,,0.15
21,21.0,0.0,0.9211910473166202,0.03070251405695132,0.9032784551929178,0.009080351519491337,,,,0.0001,3,,0.15
22,22.0,0.0,0.9250022489101904,0.026255629522064207,0.9052947193382137,0.01169450949470113,,,,0.0001,3,,0.15
23,23.0,0.0,0.9187901926956152,0.031698140411443025,0.9041193259194081,0.012518459803064985,,,,0.0001,3,,0.15
24,24.0,0.0,0.9237079544149178,0.026212567962071515,0.9056978962053587,0.009885642989063222,,,,0.0001,3,,0.15
25,25.0,0.0,0.9200225399219036,0.02685276592615158,0.9068850419836991,0.011344796150534802,,,,0.0001,3,,0.15
26,26.0,0.0,0.9256349789025567,0.030887026698927133,0.9034618315590324,0.011794260577825559,,,,0.0001,3,,0.15
27,27.0,0.0,0.9150249101155467,0.030610811106636836,0.9274204855917186,0.015846688402116855,,,,0.0001,3,,0.15
28,28.0,0.0,0.9123779636373448,0.029777429221763144,0.924247903381276,0.01513042460709046,,,,0.0001,3,,0.15
29,29.0,0.0,0.917518183502396,0.03140659465080186,0.9296432645567811,0.014113858505120933,,,,0.0001,3,,0.15
30,30.0,0.0,0.9123665035809583,0.031647333020752295,0.9225508932458376,0.012718077492856321,,,,0.0001,3,,0.15
31,31.0,0.0,0.910094878074642,0.03142812288863414,0.9336268365838903,0.01843067681438565,,,,0.0001,3,,0.15
32,32.0,0.0,0.8967475905536478,0.026548760777453908,0.9172015736884634,0.015455562152421146,,,,0.0001,3,,0.15
33,33.0,0.0,0.8962295300306845,0.029213082232065854,0.9236734381189616,0.01484471554754575,,,,0.0001,3,,0.15
34,34.0,0.0,0.9013111886742283,0.02755165256585124,0.9236943928553432,0.017966465206234284,,,,0.0001,3,,0.15
35,35.0,0.0,0.889160146834692,0.030297071650769763,0.9267241320591607,0.014996851444647026,,,,0.0001,3,,0.15
36,35.0,0.0,0.8991506212504377,0.030713002394295395,0.9258843080100825,0.014636257122174248,,,,0.0001,3,,0.15
37,35.0,0.0,0.8942050263863502,0.03233340460015577,0.9257935355210739,0.01578404382957506,,,,0.0001,3,,0.15
38,35.0,0.0,0.8945335060724604,0.027354874430680427,0.9227557055031549,0.01250763895443086,,,,0.0001,3,,0.15
39,35.0,0.0,0.891046299485844,0.029813743781677962,0.9261578163965314,0.014978825483528363,,,,0.0001,3,,0.15
40,35.0,0.0,0.8937773914369841,0.02448616115338863,0.9273493303769362,0.014302082995778979,,,,0.0001,3,,0.15
41,35.0,0.0,0.8967756877729918,0.029131761756136073,0.9277553435884065,0.016056974820881323,,,,0.0001,3,,0.15
42,35.0,0.0,0.8926607070023863,0.033389263507111626,0.9254947237471893,0.016073913270245554,,,,0.0001,3,,0.15
43,35.0,0.0,0.889591731112695,0.03034083914873463,0.9237723367415285,0.014413743139271953,,,,0.0001,3,,0.15
44,35.0,0.0,0.8901634721428383,0.03319438395860551,0.9255422012028248,0.01658363670405205,,,,0.0001,3,,0.15
45,35.0,0.0,0.8973606944656602,0.02461432237864181,0.9238223063853842,0.015303013520146153,,,,0.0001,3,,0.15
